個人ID,年収（万円）,LN年収,女性ダミー,"中学3年生の時
の学年成績",教育年数,"大卒以上ダミー
（基準は高卒以下）","短期高等教育卒ダミー
（基準は高卒以下）",勤続年数,勤続年数の2乗,大企業ダミー,"正規雇用ダミー
（基準は非正規雇用）","ホワイトカラー・ダミー
（専門職、技術職、事務職。
基準はブルーカラー）","管理職ダミー
（基準は非管理職）","転職ダミー
（基準は転職経験なし）"
1,100,4.61,1,2,9,0,0,4.9,24.01,0,0,0,0,1
2,150,5.01,0,1,9,0,0,8,64,0,0,1,0,0
3,150,5.01,1,1,9,0,0,5.6,31.36,0,0,0,0,0
4,200,5.30,1,2,9,0,0,7,49,0,0,1,0,1
5,300,5.70,0,1,9,0,0,10,100,0,0,0,0,0
6,150,5.01,1,1,9,0,0,7.7,59.29,0,0,1,0,0
7,200,5.30,1,4,9,0,0,8.4,70.56,0,0,0,0,0
8,12.5,2.53,1,3,9,0,0,9.1,82.81,0,0,0,0,1
9,300,5.70,0,4,9,0,0,14,196,0,0,1,0,0
10,300,5.70,1,3,9,0,0,9.8,96.04,0,1,1,0,0
11,106.25,4.67,1,3,9,0,0,10.5,110.25,0,0,0,0,0
12,106.25,4.67,1,2,9,0,0,10.5,110.25,0,0,1,0,1
13,150,5.01,1,2,9,0,0,11.2,125.44,0,0,0,0,1
14,100,4.61,1,5,9,0,0,11.2,125.44,0,0,1,0,0
15,300,5.70,0,5,9,0,0,16,256,0,0,1,0,0
16,50,3.91,1,4,9,0,0,11.9,141.61,0,0,1,0,1
17,150,5.01,0,3,9,0,0,17,289,0,0,0,0,0
18,150,5.01,0,5,9,0,0,17,289,0,0,1,0,0
19,125,4.83,1,2,9,0,0,11.9,141.61,0,0,0,0,0
20,200,5.30,0,1,9,0,0,17,289,0,0,0,0,0
21,200,5.30,1,1,9,0,0,11.9,141.61,0,0,1,0,1
22,150,5.01,1,2,9,0,0,12.6,158.76,0,0,0,0,0
23,106.25,4.67,1,5,9,0,0,12.6,158.76,0,0,0,0,1
24,106.25,4.67,0,3,9,0,0,18,324,0,0,0,0,1
25,250,5.52,1,2,9,0,0,12.6,158.76,0,0,0,0,0
26,156.25,5.05,1,4,9,0,0,12.6,158.76,0,0,0,0,1
27,300,5.70,0,5,9,0,0,18,324,0,0,1,0,0
28,50,3.91,1,3,9,0,0,13.3,176.89,0,0,0,0,1
29,300,5.70,0,5,9,0,0,19,361,0,0,1,0,0
30,350,5.86,0,4,9,0,0,19,361,0,1,1,0,1
31,350,5.86,0,3,9,0,0,19,361,0,1,1,0,0
32,400,5.99,0,5,9,0,0,19,361,0,1,1,0,0
33,500,6.21,0,5,9,0,0,19,361,1,1,1,1,0
34,400,5.99,0,3,9,0,0,19,361,0,1,1,0,0
35,6.25,1.83,1,5,9,0,0,14,196,0,0,1,0,1
36,56.25,4.03,1,4,9,0,0,14,196,0,0,1,0,1
37,12.5,2.53,1,2,9,0,0,14,196,0,0,0,0,1
38,75,4.32,1,2,9,0,0,14,196,0,0,1,0,0
39,56.25,4.03,1,2,9,0,0,14,196,0,0,0,0,1
40,500,6.21,0,3,9,0,0,22,484,1,1,1,0,0
41,450,6.11,0,4,9,0,0,23,529,0,1,1,0,0
42,400,5.99,0,4,9,0,0,23,529,0,1,0,0,0
43,600,6.40,0,3,9,0,0,23,529,1,1,1,1,0
44,600,6.40,0,4,9,0,0,23,529,1,1,1,1,0
45,200,5.30,1,5,9,0,0,16.8,282.24,0,0,0,0,1
46,150,5.01,0,2,9,0,0,24,576,0,0,0,0,1
47,250,5.52,1,4,9,0,0,16.8,282.24,0,0,1,0,1
48,300,5.70,1,3,9,0,0,16.8,282.24,0,1,1,0,0
49,200,5.30,0,4,9,0,0,25,625,0,0,1,0,1
50,300,5.70,1,2,9,0,0,17.5,306.25,0,1,0,0,0
51,400,5.99,1,3,9,0,0,17.5,306.25,0,1,0,0,0
52,150,5.01,0,2,9,0,0,25,625,0,0,0,0,0
53,350,5.86,1,1,9,0,0,17.5,306.25,0,1,1,0,1
54,200,5.30,1,2,9,0,0,17.5,306.25,0,0,1,0,0
55,350,5.86,1,4,9,0,0,17.5,306.25,0,1,1,0,0
56,350,5.86,1,4,9,0,0,17.5,306.25,0,1,1,0,0
57,100,4.61,1,1,9,0,0,18.2,331.24,0,0,0,0,0
58,100,4.61,1,5,9,0,0,18.2,331.24,0,0,0,0,1
59,250,5.52,0,1,9,0,0,26,676,0,0,0,0,0
60,56.25,4.03,0,5,11,0,0,4,16,0,0,1,0,1
61,100,4.61,1,4,11,0,0,2.8,7.84,0,0,1,0,1
62,100,4.61,1,4,11,0,0,2.8,7.84,0,0,1,0,0
63,56.25,4.03,1,4,11,0,0,2.8,7.84,0,0,0,0,1
64,150,5.01,1,4,11,0,0,2.8,7.84,0,0,1,0,0
65,100,4.61,1,4,11,0,0,3.5,12.25,0,0,1,0,1
66,175,5.16,1,1,11,0,0,3.5,12.25,0,0,0,0,0
67,200,5.30,1,1,11,0,0,3.5,12.25,0,0,1,0,1
68,250,5.52,1,3,11,0,0,3.5,12.25,0,0,1,0,1
69,250,5.52,0,5,11,0,0,5,25,0,0,0,0,0
70,200,5.30,1,5,11,0,0,3.5,12.25,0,0,1,0,0
71,150,5.01,0,3,11,0,0,5,25,0,0,0,0,0
72,200,5.30,0,2,11,0,0,5,25,0,0,0,0,0
73,250,5.52,1,3,11,0,0,3.5,12.25,0,0,0,0,0
74,100,4.61,1,4,11,0,0,4.2,17.64,0,0,0,0,0
75,100,4.61,1,1,11,0,0,4.2,17.64,0,0,0,0,0
76,150,5.01,1,3,11,0,0,4.9,24.01,0,0,0,0,0
77,200,5.30,1,3,11,0,0,4.9,24.01,0,0,0,0,0
78,200,5.30,1,1,11,0,0,4.9,24.01,0,0,0,0,1
79,200,5.30,1,4,11,0,0,4.9,24.01,0,0,0,0,0
80,150,5.01,0,3,11,0,0,8,64,0,0,0,0,0
81,100,4.61,0,2,11,0,0,8,64,0,0,0,0,0
82,200,5.30,1,5,11,0,0,5.6,31.36,0,0,1,0,1
83,200,5.30,0,4,11,0,0,8,64,0,0,1,0,0
84,106.25,4.67,0,1,11,0,0,9,81,0,0,0,0,0
85,250,5.52,0,2,11,0,0,9,81,0,0,0,0,0
86,250,5.52,0,4,11,0,0,9,81,0,0,1,0,0
87,350,5.86,0,1,11,0,0,9,81,0,1,0,0,0
88,300,5.70,1,2,11,0,0,6.3,39.69,0,1,1,0,1
89,300,5.70,0,3,11,0,0,9,81,0,0,1,0,0
90,300,5.70,1,3,11,0,0,6.3,39.69,0,1,1,0,0
91,100,4.61,1,1,11,0,0,7,49,0,0,0,0,0
92,100,4.61,0,3,11,0,0,10,100,0,0,1,0,0
93,100,4.61,0,1,11,0,0,11,121,0,0,0,0,1
94,150,5.01,0,3,11,0,0,12,144,0,0,1,0,1
95,200,5.30,1,1,11,0,0,8.4,70.56,0,0,1,0,0
96,250,5.52,0,2,11,0,0,12,144,0,0,0,0,0
97,250,5.52,0,1,11,0,0,12,144,0,0,0,0,1
98,300,5.70,1,3,11,0,0,8.4,70.56,0,1,0,0,1
99,250,5.52,0,4,11,0,0,12,144,0,0,1,0,1
100,150,5.01,1,2,11,0,0,9.1,82.81,0,0,1,0,0
101,175,5.16,0,1,11,0,0,13,169,0,0,1,0,0
102,75,4.32,1,5,11,0,0,9.1,82.81,0,0,1,0,1
103,300,5.70,0,1,11,0,0,13,169,0,0,1,0,0
104,300,5.70,0,1,11,0,0,13,169,0,0,1,0,0
105,250,5.52,0,5,11,0,0,14,196,0,0,0,0,0
106,300,5.70,0,4,11,0,0,14,196,0,0,1,0,0
107,400,5.99,0,4,11,0,0,14,196,0,1,1,0,0
108,400,5.99,0,1,11,0,0,14,196,0,1,0,0,0
109,6.25,1.83,1,5,11,0,0,10.5,110.25,0,0,1,0,1
110,156.25,5.05,1,5,11,0,0,10.5,110.25,0,0,0,0,0
111,300,5.70,0,2,11,0,0,15,225,0,0,0,0,0
112,275,5.62,1,1,11,0,0,11.2,125.44,0,1,0,0,1
113,175,5.16,1,3,11,0,0,11.2,125.44,0,0,0,0,0
114,125,4.83,1,2,11,0,0,11.2,125.44,0,0,1,0,1
115,200,5.30,1,2,11,0,0,11.2,125.44,0,0,1,0,0
116,175,5.16,1,2,11,0,0,11.2,125.44,0,0,0,0,0
117,350,5.86,0,1,11,0,0,16,256,0,1,0,0,0
118,350,5.86,0,1,11,0,0,17,289,0,1,0,0,1
119,400,5.99,0,1,11,0,0,17,289,0,1,1,0,0
120,900,6.80,0,5,11,0,0,17,289,1,1,1,1,0
121,350,5.86,1,4,11,0,0,11.9,141.61,0,1,0,0,1
122,500,6.21,0,1,11,0,0,17,289,1,1,1,0,0
123,900,6.80,0,2,11,0,0,17,289,1,1,1,1,0
124,250,5.52,0,3,11,0,0,18,324,0,0,1,0,0
125,400,5.99,0,4,11,0,0,18,324,0,1,1,0,0
126,500,6.21,0,2,11,0,0,18,324,1,1,1,0,0
127,500,6.21,0,3,11,0,0,18,324,1,1,1,0,0
128,400,5.99,0,3,11,0,0,18,324,0,1,1,0,0
129,250,5.52,1,4,11,0,0,13.3,176.89,0,0,1,0,0
130,250,5.52,0,5,11,0,0,19,361,0,0,1,0,1
131,350,5.86,0,4,11,0,0,19,361,0,1,1,0,0
132,350,5.86,0,4,11,0,0,20,400,0,1,1,0,0
133,400,5.99,0,3,11,0,0,20,400,0,1,1,0,0
134,56.25,4.03,1,1,11,0,0,14.7,216.09,0,0,0,0,0
135,100,4.61,1,4,11,0,0,14.7,216.09,0,0,1,0,0
136,56.25,4.03,1,5,11,0,0,14.7,216.09,0,0,0,0,1
137,350,5.86,0,2,11,0,0,21,441,0,1,0,0,0
138,350,5.86,0,4,11,0,0,21,441,0,1,0,0,0
139,200,5.30,0,5,11,0,0,22,484,0,0,1,0,0
140,175,5.16,1,3,11,0,0,15.4,237.16,0,0,0,0,0
141,400,5.99,1,3,11,0,0,15.4,237.16,0,1,1,0,0
142,450,6.11,0,4,11,0,0,22,484,0,1,1,0,0
143,400,5.99,0,5,11,0,0,22,484,0,1,1,0,1
144,400,5.99,0,1,11,0,0,22,484,0,1,0,0,0
145,450,6.11,0,2,11,0,0,22,484,0,1,1,0,0
146,125,4.83,0,4,11,0,0,23,529,0,0,0,0,1
147,300,5.70,0,2,11,0,0,23,529,0,0,0,0,0
148,250,5.52,1,5,11,0,0,16.1,259.21,0,0,1,0,0
149,400,5.99,1,1,11,0,0,16.1,259.21,0,1,1,0,0
150,1150,7.05,0,2,11,0,0,23,529,1,1,1,1,0
151,75,4.32,1,5,11,0,0,16.8,282.24,0,0,1,0,0
152,75,4.32,1,3,11,0,0,16.8,282.24,0,0,1,0,0
153,100,4.61,1,3,11,0,0,16.8,282.24,0,0,0,0,1
154,250,5.52,0,2,11,0,0,24,576,0,0,1,0,0
155,50,3.91,1,1,12,0,0,2.1,4.41,0,0,0,0,1
156,50,3.91,1,2,12,0,0,2.1,4.41,0,0,0,0,1
157,6.25,1.83,1,4,12,0,0,2.1,4.41,0,0,1,0,1
158,150,5.01,1,4,12,0,0,2.1,4.41,0,0,0,0,1
159,31.25,3.44,1,2,12,0,0,2.1,4.41,0,0,1,0,0
160,31.25,3.44,1,5,12,0,0,2.1,4.41,0,0,0,0,1
161,12.5,2.53,1,1,12,0,0,2.1,4.41,0,0,0,0,0
162,56.25,4.03,1,3,12,0,0,2.1,4.41,0,0,1,0,0
163,12.5,2.53,1,3,12,0,0,2.1,4.41,0,0,1,0,1
164,12.5,2.53,1,5,12,0,0,2.1,4.41,0,0,0,0,1
165,106.25,4.67,1,4,12,0,0,2.1,4.41,0,0,0,0,0
166,31.25,3.44,1,3,12,0,0,2.1,4.41,0,0,0,0,1
167,106.25,4.67,0,2,12,0,0,3,9,0,0,0,0,0
168,6.25,1.83,1,2,12,0,0,2.1,4.41,0,0,0,0,1
169,50,3.91,1,5,12,0,0,2.1,4.41,0,0,1,0,0
